###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis/cluster/hd/CH_WTD.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 0
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 7.670390932262432 7.417390381744002
# Mean: 7.670390932262432 7.417390381744002
# Covariance Matrix: [
#  [ 0.06151724, 0.03734905 ]
#  [ 0.03734905, 0.06384919 ]
# ]
ID=275 7.400000000000006 7.299999999999997 t03_SEC_1860
ID=273 7.400000000000006 7.5 t03_SEC_1800
ID=272 7.400000000000006 7.300000000000004 t03_SEC_1770
ID=277 7.200000000000003 7.399999999999999 t03_SEC_1920
ID=9 8.099999999999994 8.100000000000001 t01_SEC_240
ID=10 8.099999999999994 7.800000000000004 t01_SEC_270
ID=11 8.099999999999994 7.899999999999999 t01_SEC_300
ID=12 8.099999999999994 7.600000000000001 t01_SEC_330
ID=13 8.0 7.600000000000001 t01_SEC_360
ID=14 7.600000000000001 7.600000000000001 t01_SEC_390
ID=15 7.600000000000001 7.700000000000003 t01_SEC_420
ID=17 7.799999999999997 7.299999999999997 t01_SEC_480
ID=16 7.799999999999997 7.600000000000001 t01_SEC_450
ID=21 7.899999999999999 7.5 t01_SEC_600
ID=23 7.800000000000004 7.5 t01_SEC_660
ID=22 7.800000000000004 7.399999999999999 t01_SEC_630
ID=25 7.800000000000004 7.600000000000001 t01_SEC_720
ID=24 7.800000000000004 7.5 t01_SEC_690
ID=27 7.700000000000003 7.599999999999994 t01_SEC_780
ID=26 7.700000000000003 7.5 t01_SEC_750
ID=29 8.0 7.5 t01_SEC_840
ID=271 7.400000000000006 7.300000000000004 t03_SEC_1740
ID=28 8.0 7.5 t01_SEC_810
ID=31 8.0 7.799999999999997 t01_SEC_900
ID=30 7.899999999999999 7.799999999999997 t01_SEC_870
ID=34 8.100000000000001 7.600000000000001 t01_SEC_990
ID=35 8.0 7.800000000000004 t01_SEC_1020
ID=32 8.0 7.700000000000003 t01_SEC_930
ID=33 8.100000000000001 7.799999999999997 t01_SEC_960
ID=38 7.700000000000003 7.800000000000004 t01_SEC_1110
ID=39 7.800000000000004 7.800000000000004 t01_SEC_1140
ID=36 8.0 7.800000000000004 t01_SEC_1050
ID=37 7.700000000000003 8.0 t01_SEC_1080
ID=42 8.099999999999994 7.799999999999997 t01_SEC_1230
ID=43 7.899999999999999 7.799999999999997 t01_SEC_1260
ID=40 7.800000000000004 7.800000000000004 t01_SEC_1170
ID=41 8.099999999999994 7.700000000000003 t01_SEC_1200
ID=46 7.899999999999999 7.700000000000003 t01_SEC_1350
ID=47 7.799999999999997 7.5 t01_SEC_1380
ID=44 7.899999999999999 7.700000000000003 t01_SEC_1290
ID=45 7.899999999999999 7.700000000000003 t01_SEC_1320
ID=48 8.0 7.5 t01_SEC_1410
ID=55 7.599999999999994 7.300000000000004 t01_SEC_1620
ID=54 7.599999999999994 7.300000000000004 t01_SEC_1590
ID=52 7.700000000000003 7.300000000000004 t01_SEC_1530
ID=87 7.700000000000003 7.300000000000004 t01_SEC_2580
ID=92 7.600000000000001 7.299999999999997 t01_SEC_2730
ID=89 7.600000000000001 7.5 t01_SEC_2640
ID=88 7.700000000000003 7.5 t01_SEC_2610
ID=90 7.600000000000001 7.299999999999997 t01_SEC_2670
ID=103 7.700000000000003 7.5 t01_SEC_3060
ID=108 7.599999999999994 7.5 t02_SEC_30
ID=109 7.600000000000001 7.5 t02_SEC_60
ID=106 7.700000000000003 7.5 t01_SEC_3150
ID=107 7.599999999999994 7.399999999999999 t02_SEC_0
ID=104 7.700000000000003 7.299999999999997 t01_SEC_3090
ID=105 7.700000000000003 7.5 t01_SEC_3120
ID=117 7.399999999999999 7.5 t02_SEC_300
ID=116 7.399999999999999 7.399999999999999 t02_SEC_270
ID=115 7.700000000000003 7.5 t02_SEC_240
ID=114 7.700000000000003 7.5 t02_SEC_210
ID=127 7.799999999999997 7.5 t02_SEC_600
ID=126 7.5 7.299999999999997 t02_SEC_570
ID=142 7.700000000000003 7.299999999999997 t02_SEC_1050
ID=129 7.700000000000003 7.400000000000006 t02_SEC_660
ID=128 7.799999999999997 7.600000000000001 t02_SEC_630
ID=131 7.5 7.300000000000004 t02_SEC_720
ID=130 7.700000000000003 7.5 t02_SEC_690
ID=132 7.5 7.300000000000004 t02_SEC_750
ID=134 7.899999999999999 7.399999999999999 t02_SEC_810
ID=152 7.300000000000004 7.299999999999997 t02_SEC_1350
ID=153 7.799999999999997 7.399999999999999 t02_SEC_1380
ID=154 7.799999999999997 7.399999999999999 t02_SEC_1410
ID=158 7.5 7.299999999999997 t02_SEC_1530
ID=151 7.300000000000004 7.299999999999997 t02_SEC_1320
ID=171 7.700000000000003 7.399999999999999 t02_SEC_1920
ID=170 7.600000000000001 7.600000000000001 t02_SEC_1890
ID=169 7.600000000000001 7.399999999999999 t02_SEC_1860
ID=168 7.800000000000004 7.299999999999997 t02_SEC_1830
ID=175 7.700000000000003 7.299999999999997 t02_SEC_2040
ID=174 7.300000000000004 7.399999999999999 t02_SEC_2010
ID=173 7.300000000000004 7.5 t02_SEC_1980
ID=172 7.700000000000003 7.299999999999997 t02_SEC_1950
ID=163 7.5 7.399999999999999 t02_SEC_1680
ID=161 7.899999999999999 7.399999999999999 t02_SEC_1620
ID=160 7.899999999999999 7.5 t02_SEC_1590
ID=167 7.800000000000004 7.299999999999997 t02_SEC_1800
ID=166 7.5 7.299999999999997 t02_SEC_1770
ID=165 7.5 7.399999999999999 t02_SEC_1740
ID=164 7.5 7.399999999999999 t02_SEC_1710
ID=186 7.899999999999999 7.5 t02_SEC_2370
ID=187 7.899999999999999 7.600000000000001 t02_SEC_2400
ID=184 7.699999999999996 7.400000000000006 t02_SEC_2310
ID=185 7.699999999999996 7.600000000000001 t02_SEC_2340
ID=190 7.899999999999999 7.600000000000001 t02_SEC_2490
ID=191 7.400000000000006 7.600000000000001 t02_SEC_2520
ID=188 7.899999999999999 7.600000000000001 t02_SEC_2430
ID=189 7.899999999999999 7.5 t02_SEC_2460
ID=178 7.600000000000001 7.399999999999999 t02_SEC_2130
ID=179 7.600000000000001 7.600000000000001 t02_SEC_2160
ID=176 7.399999999999999 7.299999999999997 t02_SEC_2070
ID=177 7.399999999999999 7.600000000000001 t02_SEC_2100
ID=182 7.899999999999999 7.899999999999999 t02_SEC_2250
ID=183 7.899999999999999 7.799999999999997 t02_SEC_2280
ID=180 7.5 7.300000000000004 t02_SEC_2190
ID=181 7.5 7.700000000000003 t02_SEC_2220
ID=201 7.600000000000001 7.400000000000006 t02_SEC_2820
ID=200 7.400000000000006 7.700000000000003 t02_SEC_2790
ID=203 8.0 7.400000000000006 t02_SEC_2880
ID=202 7.600000000000001 7.600000000000001 t02_SEC_2850
ID=199 7.400000000000006 7.700000000000003 t02_SEC_2760
ID=193 7.800000000000004 7.299999999999997 t02_SEC_2580
ID=192 7.400000000000006 7.299999999999997 t02_SEC_2550
ID=223 7.700000000000003 7.299999999999997 t03_SEC_300
ID=218 7.400000000000006 7.299999999999997 t03_SEC_150
ID=219 7.400000000000006 7.399999999999999 t03_SEC_180
ID=212 7.899999999999999 7.5 t02_SEC_3150
ID=209 7.800000000000004 7.299999999999997 t02_SEC_3060
ID=210 7.800000000000004 7.399999999999999 t02_SEC_3090
ID=211 7.899999999999999 7.600000000000001 t02_SEC_3120
ID=230 7.300000000000004 7.299999999999997 t03_SEC_510
ID=229 7.300000000000004 7.299999999999997 t03_SEC_480
ID=225 7.5 7.300000000000004 t03_SEC_360
ID=224 7.700000000000003 7.300000000000004 t03_SEC_330
###############################################################
