###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis/cluster/hd/COP.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 0
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 0.3990011139984743 0.32363017839139424
# Mean: 0.3990011139984743 0.32363017839139424
# Covariance Matrix: [
#  [ 0.00005961, 0.00000996 ]
#  [ 0.00000996, 0.00001976 ]
# ]
ID=136 0.39041054108460926 0.3182218740820523 t02_SEC_870
ID=139 0.3965107057890563 0.32712632108706596 t02_SEC_960
ID=200 0.3965107057890563 0.32601708145835245 t02_SEC_2790
ID=199 0.3965107057890563 0.32601708145835245 t02_SEC_2760
ID=198 0.3965107057890563 0.32163466086462966 t02_SEC_2730
ID=287 0.39632611977856064 0.3220936084549572 t03_SEC_2220
ID=286 0.39632611977856064 0.3208020050125313 t03_SEC_2190
ID=13 0.396871045668929 0.32132512671976826 t01_SEC_360
ID=195 0.3965107057890563 0.3243721433135106 t02_SEC_2640
ID=14 0.391119291383872 0.32378925944770803 t01_SEC_390
ID=135 0.39041054108460926 0.3286601961690546 t02_SEC_840
ID=15 0.391119291383872 0.32062181199902845 t01_SEC_420
ID=17 0.391119291383872 0.32928687275765467 t01_SEC_480
ID=85 0.3965107057890563 0.3231175952217762 t01_SEC_2520
ID=19 0.3853675370988151 0.32043730267188164 t01_SEC_540
ID=18 0.3853675370988151 0.32052815385351385 t01_SEC_510
ID=80 0.3965107057890563 0.32197344957400437 t01_SEC_2370
ID=214 0.3906015263505799 0.3207184092366902 t03_SEC_30
ID=215 0.3906015263505799 0.32712632108706596 t03_SEC_60
ID=29 0.4146385433567694 0.32261037883675914 t01_SEC_840
ID=209 0.41481119990239734 0.32392845406318954 t02_SEC_3060
ID=210 0.41481119990239734 0.3276042161238249 t02_SEC_3090
ID=102 0.41481119990239734 0.3278056305437717 t01_SEC_3030
ID=35 0.396871045668929 0.3246899661781285 t01_SEC_1020
ID=36 0.396871045668929 0.32132512671976826 t01_SEC_1050
ID=37 0.396871045668929 0.32237843646458314 t01_SEC_1080
ID=160 0.3965107057890563 0.32692688725975827 t02_SEC_1590
ID=47 0.3851091142490372 0.3181084417434242 t01_SEC_1380
ID=166 0.3965107057890563 0.3278056305437717 t02_SEC_1770
ID=104 0.41481119990239734 0.3310945038312364 t01_SEC_3090
ID=165 0.3965107057890563 0.32801331636150005 t02_SEC_1740
ID=45 0.3909441008285681 0.3202635311341904 t01_SEC_1320
ID=186 0.39076376554174064 0.33033762448384746 t02_SEC_2370
ID=289 0.3962167689161554 0.32337931382951846 t03_SEC_2280
ID=290 0.3962167689161554 0.3208020050125313 t03_SEC_2310
ID=252 0.39632611977856064 0.3282112486946143 t03_SEC_1170
ID=49 0.37927412766950636 0.3243721433135106 t01_SEC_1440
ID=253 0.39632611977856064 0.3273322422258592 t03_SEC_1200
ID=185 0.39668442865600945 0.32531215614983494 t02_SEC_2340
ID=48 0.37927412766950636 0.3181642884689549 t01_SEC_1410
ID=250 0.39632611977856064 0.3220936084549572 t03_SEC_1110
ID=248 0.39632611977856064 0.3258145363408521 t03_SEC_1050
ID=249 0.39632611977856064 0.3258145363408521 t03_SEC_1080
ID=189 0.39076376554174064 0.32392845406318954 t02_SEC_2460
ID=242 0.3902378592666006 0.31702001188825046 t03_SEC_870
ID=182 0.39076376554174064 0.3227315247895229 t02_SEC_2250
ID=183 0.39076376554174064 0.3180016591390912 t02_SEC_2280
###############################################################
