###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis_2/cluster/hd/CH_WTD.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 2
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 7.607964179648325 7.259374075600967
# Mean: 7.607964179648325 7.259374075600967
# Covariance Matrix: [
#  [ 0.07152063, 0.04349767 ]
#  [ 0.04349767, 0.09370547 ]
# ]
ID=9 8.099999999999994 8.100000000000001 (1,240)
ID=10 8.099999999999994 7.800000000000004 (1,270)
ID=11 8.099999999999994 7.899999999999999 (1,300)
ID=12 8.099999999999994 7.600000000000001 (1,330)
ID=13 8.0 7.600000000000001 (1,360)
ID=14 7.600000000000001 7.600000000000001 (1,390)
ID=15 7.600000000000001 7.700000000000003 (1,420)
ID=17 7.799999999999997 7.299999999999997 (1,480)
ID=16 7.799999999999997 7.600000000000001 (1,450)
ID=19 8.099999999999994 7.299999999999997 (1,540)
ID=18 8.099999999999994 7.399999999999999 (1,510)
ID=21 7.899999999999999 7.5 (1,600)
ID=20 7.899999999999999 7.299999999999997 (1,570)
ID=23 7.800000000000004 7.5 (1,660)
ID=22 7.800000000000004 7.399999999999999 (1,630)
ID=25 7.800000000000004 7.600000000000001 (1,720)
ID=24 7.800000000000004 7.5 (1,690)
ID=27 7.700000000000003 7.599999999999994 (1,780)
ID=26 7.700000000000003 7.5 (1,750)
ID=29 8.0 7.5 (1,840)
ID=28 8.0 7.5 (1,810)
ID=31 8.0 7.799999999999997 (1,900)
ID=30 7.899999999999999 7.799999999999997 (1,870)
ID=34 8.100000000000001 7.600000000000001 (1,990)
ID=35 8.0 7.800000000000004 (1,1020)
ID=32 8.0 7.700000000000003 (1,930)
ID=33 8.100000000000001 7.799999999999997 (1,960)
ID=38 7.700000000000003 7.800000000000004 (1,1110)
ID=39 7.800000000000004 7.800000000000004 (1,1140)
ID=36 8.0 7.800000000000004 (1,1050)
ID=37 7.700000000000003 8.0 (1,1080)
ID=42 8.099999999999994 7.799999999999997 (1,1230)
ID=43 7.899999999999999 7.799999999999997 (1,1260)
ID=40 7.800000000000004 7.800000000000004 (1,1170)
ID=41 8.099999999999994 7.700000000000003 (1,1200)
ID=46 7.899999999999999 7.700000000000003 (1,1350)
ID=47 7.799999999999997 7.5 (1,1380)
ID=44 7.899999999999999 7.700000000000003 (1,1290)
ID=45 7.899999999999999 7.700000000000003 (1,1320)
ID=51 7.899999999999999 7.100000000000001 (1,1500)
ID=50 7.899999999999999 7.300000000000004 (1,1470)
ID=49 8.0 7.200000000000003 (1,1440)
ID=48 8.0 7.5 (1,1410)
ID=55 7.599999999999994 7.300000000000004 (1,1620)
ID=54 7.599999999999994 7.300000000000004 (1,1590)
ID=53 7.700000000000003 7.200000000000003 (1,1560)
ID=52 7.700000000000003 7.300000000000004 (1,1530)
ID=59 7.399999999999999 7.099999999999994 (1,1740)
ID=58 7.399999999999999 7.199999999999996 (1,1710)
ID=57 7.5 7.0 (1,1680)
ID=56 7.5 7.200000000000003 (1,1650)
ID=63 8.0 7.200000000000003 (1,1860)
ID=62 8.0 7.200000000000003 (1,1830)
ID=61 8.0 7.200000000000003 (1,1800)
ID=60 7.399999999999999 7.0 (1,1770)
ID=68 7.5 6.799999999999997 (1,2010)
ID=69 7.400000000000006 6.799999999999997 (1,2040)
ID=70 7.400000000000006 7.0 (1,2070)
ID=71 7.599999999999994 6.899999999999999 (1,2100)
ID=64 7.5 7.100000000000001 (1,1890)
ID=67 7.5 6.899999999999999 (1,1980)
ID=76 7.5 7.0 (1,2250)
ID=77 7.5 7.100000000000001 (1,2280)
ID=78 7.400000000000006 7.200000000000003 (1,2310)
ID=79 7.400000000000006 7.100000000000001 (1,2340)
ID=72 7.599999999999994 6.700000000000003 (1,2130)
ID=73 7.700000000000003 7.0 (1,2160)
ID=74 7.600000000000001 7.0 (1,2190)
ID=75 7.600000000000001 6.899999999999999 (1,2220)
ID=85 7.700000000000003 6.899999999999999 (1,2520)
ID=84 7.700000000000003 7.199999999999996 (1,2490)
ID=87 7.700000000000003 7.300000000000004 (1,2580)
ID=86 7.700000000000003 7.199999999999996 (1,2550)
ID=81 7.699999999999996 7.200000000000003 (1,2400)
ID=80 7.699999999999996 7.100000000000001 (1,2370)
ID=83 7.599999999999994 7.199999999999996 (1,2460)
ID=82 7.599999999999994 7.100000000000001 (1,2430)
ID=93 7.5 7.200000000000003 (1,2760)
ID=92 7.600000000000001 7.299999999999997 (1,2730)
ID=95 8.0 6.700000000000003 (1,2820)
ID=94 7.5 6.799999999999997 (1,2790)
ID=89 7.600000000000001 7.5 (1,2640)
ID=88 7.700000000000003 7.5 (1,2610)
ID=91 7.600000000000001 7.200000000000003 (1,2700)
ID=90 7.600000000000001 7.299999999999997 (1,2670)
ID=102 7.700000000000003 7.0 (1,3030)
ID=103 7.700000000000003 7.5 (1,3060)
ID=100 7.399999999999999 7.100000000000001 (1,2970)
ID=101 7.700000000000003 7.199999999999996 (1,3000)
ID=98 7.300000000000004 6.900000000000006 (1,2910)
ID=99 7.399999999999999 7.199999999999996 (1,2940)
ID=96 8.0 6.600000000000001 (1,2850)
ID=97 7.300000000000004 6.399999999999999 (1,2880)
ID=110 7.599999999999994 7.200000000000003 (2,90)
ID=111 7.599999999999994 7.100000000000001 (2,120)
ID=108 7.599999999999994 7.5 (2,30)
ID=109 7.600000000000001 7.5 (2,60)
ID=106 7.700000000000003 7.5 (1,3150)
ID=107 7.599999999999994 7.399999999999999 (2,0)
ID=104 7.700000000000003 7.299999999999997 (1,3090)
ID=105 7.700000000000003 7.5 (1,3120)
ID=119 7.5 7.0 (2,360)
ID=118 7.5 7.200000000000003 (2,330)
ID=117 7.399999999999999 7.5 (2,300)
ID=116 7.399999999999999 7.399999999999999 (2,270)
ID=115 7.700000000000003 7.5 (2,240)
ID=114 7.700000000000003 7.5 (2,210)
ID=113 8.100000000000001 7.300000000000004 (2,180)
ID=112 8.100000000000001 7.300000000000004 (2,150)
ID=127 7.799999999999997 7.5 (2,600)
ID=126 7.5 7.299999999999997 (2,570)
ID=125 7.5 7.199999999999996 (2,540)
ID=124 7.600000000000001 7.199999999999996 (2,510)
ID=123 7.600000000000001 7.0 (2,480)
ID=122 7.700000000000003 7.0 (2,450)
ID=121 7.700000000000003 7.100000000000001 (2,420)
ID=120 7.400000000000006 7.0 (2,390)
ID=136 7.899999999999999 7.200000000000003 (2,870)
ID=139 7.600000000000001 7.099999999999994 (2,960)
ID=138 8.199999999999996 7.400000000000006 (2,930)
ID=141 7.399999999999999 7.0 (2,1020)
ID=140 7.399999999999999 7.099999999999994 (2,990)
ID=143 7.700000000000003 7.199999999999996 (2,1080)
ID=142 7.700000000000003 7.299999999999997 (2,1050)
ID=129 7.700000000000003 7.400000000000006 (2,660)
ID=128 7.799999999999997 7.600000000000001 (2,630)
