saved,value,chk,units,metric,label,combined,start_time,end_time,result_id,datacenter|chiller
1,63,,,Chiller Loads,,0,2011-05-05 14:05:14.733,,240763,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 13:40:14.723,,236564,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:45:44.750,,237465,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 14:02:44.727,,240338,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:50:14.727,,238213,EMSL|Chiller1
1,62,,,Chiller Loads,,0,2011-05-05 13:40:14.723,,236513,EMSL|Chiller1
1,65,,,Chiller Loads,,0,2011-05-05 13:54:44.740,,238995,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:45:44.750,,237499,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:55:44.733,,239199,EMSL|Chiller4
1,71,,,Chiller Loads,,0,2011-05-05 13:56:44.743,,239369,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:46:44.740,,237669,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:53:44.737,,238859,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:46:14.740,,237550,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:40:14.723,,236530,EMSL|Chiller2
1,65,,,Chiller Loads,,0,2011-05-05 13:42:14.733,,236904,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:57:44.730,,239505,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 14:05:14.733,,240814,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 14:04:14.727,,240644,EMSL|Chiller4
1,62,,,Chiller Loads,,0,2011-05-05 13:38:14.727,,236173,EMSL|Chiller1
1,67,,,Chiller Loads,,0,2011-05-05 13:39:14.730,,236394,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:53:14.737,,238774,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:40:44.740,,236649,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:59:14.740,,239794,EMSL|Chiller4
1,66,,,Chiller Loads,,0,2011-05-05 13:42:44.730,,236989,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:42:44.730,,236938,EMSL|Chiller1
1,67,,,Chiller Loads,,0,2011-05-05 13:52:44.730,,238689,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:41:44.733,,236785,EMSL|Chiller2
1,70,,,Chiller Loads,,0,2011-05-05 13:48:44.710,,238009,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:42:14.733,,236870,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 14:04:44.743,,240678,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 14:01:44.747,,240185,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 14:04:44.743,,240729,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:55:44.733,,239165,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:49:14.710,,238094,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:51:44.730,,238519,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:44:14.733,,237193,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 14:00:14.733,,239930,EMSL|Chiller2
1,62,,,Chiller Loads,,0,2011-05-05 13:41:44.733,,236768,EMSL|Chiller1
1,65,,,Chiller Loads,,0,2011-05-05 13:57:14.737,,239420,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 13:43:14.727,,237074,EMSL|Chiller4
1,66,,,Chiller Loads,,0,2011-05-05 13:41:44.733,,236819,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:50:44.733,,238349,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:44:44.730,,237295,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:54:14.737,,238910,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:45:44.750,,237448,EMSL|Chiller1
