###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis_2/cluster/hd/KW.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 1
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 159.52503283146584 204.0785646377303
# Mean: 159.52503283146584 204.0785646377303
# Covariance Matrix: [
#  [ 5.76081740,  5.68414838 ]
#  [ 5.68414838, 37.53148530 ]
# ]
ID=275 158.96 209.83 (3,1860)
ID=274 158.96 215.39 (3,1830)
ID=273 158.96 211.42 (3,1800)
ID=272 158.96 205.06 (3,1770)
ID=279 158.96 208.24 (3,1980)
ID=278 158.96 208.24 (3,1950)
ID=277 158.96 209.83 (3,1920)
ID=276 158.96 212.21 (3,1890)
ID=283 158.96 196.32 (3,2100)
ID=282 158.96 194.73 (3,2070)
ID=281 158.96 201.88 (3,2040)
ID=280 158.96 201.88 (3,2010)
ID=287 158.96 198.7 (3,2220)
ID=286 158.96 199.5 (3,2190)
ID=285 158.96 199.5 (3,2160)
ID=284 158.96 189.96 (3,2130)
ID=258 158.96 197.91 (3,1350)
ID=259 158.96 201.88 (3,1380)
ID=256 158.96 195.52 (3,1290)
ID=257 158.96 194.73 (3,1320)
ID=262 158.96 203.47 (3,1470)
ID=263 158.96 209.03 (3,1500)
ID=260 158.96 212.21 (3,1410)
ID=261 158.96 212.21 (3,1440)
ID=266 158.96 205.06 (3,1590)
ID=267 158.96 208.24 (3,1620)
ID=264 158.96 200.29 (3,1530)
ID=265 158.96 201.88 (3,1560)
ID=270 158.96 207.44 (3,1710)
ID=271 158.96 216.19 (3,1740)
ID=268 158.96 210.62 (3,1650)
ID=269 158.96 205.85 (3,1680)
ID=305 153.99 190.75 (3,2760)
ID=304 153.99 198.7 (3,2730)
