###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis_2/cluster/hd/KW.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 0
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 163.9299999999998 207.74369298702845
# Mean: 163.9299999999998 207.74369298702845
# Covariance Matrix: [
#  [ 0.00000000,  0.00000000 ]
#  [ 0.00000000, 41.29214083 ]
# ]
ID=59 163.93 209.83 (1,1740)
ID=63 163.93 200.29 (1,1860)
ID=62 163.93 217.78 (1,1830)
ID=61 163.93 214.6 (1,1800)
ID=60 163.93 208.24 (1,1770)
ID=68 163.93 203.47 (1,2010)
ID=64 163.93 205.85 (1,1890)
ID=65 163.93 200.29 (1,1920)
ID=66 163.93 202.67 (1,1950)
ID=67 163.93 204.26 (1,1980)
ID=85 163.93 204.26 (1,2520)
ID=84 163.93 201.88 (1,2490)
ID=87 163.93 201.09 (1,2580)
ID=86 163.93 201.88 (1,2550)
ID=81 163.93 203.47 (1,2400)
ID=80 163.93 201.88 (1,2370)
ID=83 163.93 201.88 (1,2460)
ID=82 163.93 202.67 (1,2430)
ID=93 163.93 210.62 (1,2760)
ID=92 163.93 212.21 (1,2730)
ID=95 163.93 194.73 (1,2820)
ID=94 163.93 197.11 (1,2790)
ID=89 163.93 221.75 (1,2640)
ID=88 163.93 221.75 (1,2610)
ID=91 163.93 216.98 (1,2700)
ID=90 163.93 219.37 (1,2670)
ID=102 163.93 207.44 (1,3030)
ID=103 163.93 216.98 (1,3060)
ID=100 163.93 215.39 (1,2970)
ID=101 163.93 211.42 (1,3000)
ID=98 163.93 209.83 (1,2910)
ID=99 163.93 214.6 (1,2940)
ID=96 163.93 192.34 (1,2850)
ID=97 163.93 198.7 (1,2880)
ID=108 163.93 211.42 (2,30)
ID=109 163.93 213.01 (2,60)
ID=106 163.93 216.98 (1,3150)
ID=107 163.93 212.21 (2,0)
ID=104 163.93 211.42 (1,3090)
ID=105 163.93 209.83 (1,3120)
ID=127 163.93 215.39 (2,600)
ID=126 163.93 213.8 (2,570)
ID=125 163.93 209.03 (2,540)
ID=124 163.93 209.03 (2,510)
ID=123 163.93 207.44 (2,480)
ID=122 163.93 207.44 (2,450)
ID=121 163.93 197.91 (2,420)
ID=120 163.93 205.85 (2,390)
ID=137 163.93 203.47 (2,900)
ID=136 163.93 204.26 (2,870)
ID=139 163.93 198.7 (2,960)
ID=138 163.93 209.03 (2,930)
ID=129 163.93 209.83 (2,660)
ID=128 163.93 206.65 (2,630)
ID=131 163.93 205.85 (2,720)
ID=130 163.93 207.44 (2,690)
ID=133 163.93 201.88 (2,780)
ID=132 163.93 205.85 (2,750)
ID=135 163.93 194.73 (2,840)
ID=134 163.93 200.29 (2,810)
ID=152 163.93 209.83 (2,1350)
ID=153 163.93 204.26 (2,1380)
ID=154 163.93 204.26 (2,1410)
ID=155 163.93 197.11 (2,1440)
ID=156 163.93 201.88 (2,1470)
ID=157 163.93 201.88 (2,1500)
ID=158 163.93 200.29 (2,1530)
ID=159 163.93 200.29 (2,1560)
ID=150 163.93 204.26 (2,1290)
ID=151 163.93 209.83 (2,1320)
ID=171 163.93 213.8 (2,1920)
ID=170 163.93 209.03 (2,1890)
ID=169 163.93 209.03 (2,1860)
ID=168 163.93 209.83 (2,1830)
ID=175 163.93 209.83 (2,2040)
ID=174 163.93 218.57 (2,2010)
ID=173 163.93 206.65 (2,1980)
ID=172 163.93 206.65 (2,1950)
ID=163 163.93 204.26 (2,1680)
ID=162 163.93 204.26 (2,1650)
ID=161 163.93 200.29 (2,1620)
ID=160 163.93 201.88 (2,1590)
ID=167 163.93 212.21 (2,1800)
ID=166 163.93 207.44 (2,1770)
ID=165 163.93 204.26 (2,1740)
ID=164 163.93 204.26 (2,1710)
ID=190 163.93 211.42 (2,2490)
ID=191 163.93 213.8 (2,2520)
ID=178 163.93 214.6 (2,2130)
ID=179 163.93 219.37 (2,2160)
ID=176 163.93 212.21 (2,2070)
ID=177 163.93 216.98 (2,2100)
ID=205 163.93 208.24 (2,2940)
ID=204 163.93 203.47 (2,2910)
ID=207 163.93 202.67 (2,3000)
ID=206 163.93 202.67 (2,2970)
ID=201 163.93 224.93 (2,2820)
ID=200 163.93 217.78 (2,2790)
ID=203 163.93 213.01 (2,2880)
ID=202 163.93 216.19 (2,2850)
ID=197 163.93 201.09 (2,2700)
ID=196 163.93 207.44 (2,2670)
ID=199 163.93 217.78 (2,2760)
ID=198 163.93 211.42 (2,2730)
ID=193 163.93 209.03 (2,2580)
ID=192 163.93 209.03 (2,2550)
ID=195 163.93 203.47 (2,2640)
ID=194 163.93 202.67 (2,2610)
ID=208 163.93 204.26 (2,3030)
ID=209 163.93 213.01 (2,3060)
ID=210 163.93 210.62 (2,3090)
###############################################################
