###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis_2/cluster/hd/Loads.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 2
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 65.50000660561552 66.76818826079915
# Mean: 65.50000660561552 66.76818826079915
# Covariance Matrix: [
#  [ 5.53174840, 5.12493551 ]
#  [ 5.12493551, 7.20529011 ]
# ]
ID=3 73.0 76.0 (1,60)
ID=4 73.0 75.0 (1,90)
ID=5 72.0 73.0 (1,120)
ID=6 72.0 72.0 (1,150)
ID=7 72.0 72.0 (1,180)
ID=8 72.0 73.0 (1,210)
ID=9 70.0 71.0 (1,240)
ID=10 70.0 69.0 (1,270)
ID=11 70.0 70.0 (1,300)
ID=12 70.0 70.0 (1,330)
ID=13 69.0 71.0 (1,360)
ID=14 68.0 70.0 (1,390)
ID=15 68.0 66.0 (1,420)
ID=17 68.0 67.0 (1,480)
ID=16 68.0 67.0 (1,450)
ID=19 67.0 68.0 (1,540)
ID=18 67.0 67.0 (1,510)
ID=21 67.0 68.0 (1,600)
ID=20 67.0 69.0 (1,570)
ID=23 68.0 68.0 (1,660)
ID=22 68.0 68.0 (1,630)
ID=25 68.0 70.0 (1,720)
ID=24 68.0 68.0 (1,690)
ID=27 69.0 71.0 (1,780)
ID=26 69.0 70.0 (1,750)
ID=29 69.0 70.0 (1,840)
ID=28 69.0 69.0 (1,810)
ID=31 70.0 70.0 (1,900)
ID=30 70.0 71.0 (1,870)
ID=34 70.0 70.0 (1,990)
ID=35 69.0 72.0 (1,1020)
ID=32 70.0 71.0 (1,930)
ID=33 70.0 70.0 (1,960)
ID=38 69.0 72.0 (1,1110)
ID=39 69.0 72.0 (1,1140)
ID=36 69.0 71.0 (1,1050)
ID=37 69.0 72.0 (1,1080)
ID=42 68.0 71.0 (1,1230)
ID=43 68.0 70.0 (1,1260)
ID=40 69.0 72.0 (1,1170)
ID=41 68.0 72.0 (1,1200)
ID=46 67.0 67.0 (1,1350)
ID=44 68.0 69.0 (1,1290)
ID=45 67.0 70.0 (1,1320)
ID=49 65.0 66.0 (1,1440)
ID=48 65.0 66.0 (1,1410)
ID=53 65.0 67.0 (1,1560)
ID=52 65.0 67.0 (1,1530)
ID=57 65.0 66.0 (1,1680)
ID=56 65.0 65.0 (1,1650)
ID=69 65.0 65.0 (1,2040)
ID=70 65.0 64.0 (1,2070)
ID=71 65.0 65.0 (1,2100)
ID=76 65.0 68.0 (1,2250)
ID=77 65.0 67.0 (1,2280)
ID=72 65.0 64.0 (1,2130)
ID=85 65.0 66.0 (1,2520)
ID=84 65.0 67.0 (1,2490)
ID=81 65.0 65.0 (1,2400)
ID=80 65.0 65.0 (1,2370)
ID=83 65.0 67.0 (1,2460)
ID=82 65.0 67.0 (1,2430)
ID=93 65.0 64.0 (1,2760)
ID=94 65.0 61.0 (1,2790)
ID=102 68.0 68.0 (1,3030)
ID=103 68.0 69.0 (1,3060)
ID=100 67.0 68.0 (1,2970)
ID=101 68.0 67.0 (1,3000)
ID=99 67.0 69.0 (1,2940)
ID=110 65.0 67.0 (2,90)
ID=111 65.0 68.0 (2,120)
ID=109 65.0 68.0 (2,60)
ID=106 67.0 69.0 (1,3150)
ID=104 68.0 70.0 (1,3090)
ID=105 67.0 68.0 (1,3120)
ID=119 65.0 65.0 (2,360)
ID=118 65.0 66.0 (2,330)
ID=113 65.0 67.0 (2,180)
ID=112 65.0 67.0 (2,150)
ID=137 65.0 65.0 (2,900)
ID=136 64.0 65.0 (2,870)
ID=139 65.0 65.0 (2,960)
ID=138 65.0 66.0 (2,930)
ID=141 65.0 66.0 (2,1020)
ID=140 65.0 66.0 (2,990)
ID=143 65.0 67.0 (2,1080)
ID=142 65.0 66.0 (2,1050)
ID=133 65.0 64.0 (2,780)
ID=135 64.0 64.0 (2,840)
ID=134 65.0 64.0 (2,810)
ID=152 67.0 67.0 (2,1350)
ID=159 65.0 66.0 (2,1560)
ID=144 65.0 67.0 (2,1110)
ID=145 65.0 66.0 (2,1140)
ID=150 67.0 66.0 (2,1290)
ID=151 67.0 67.0 (2,1320)
ID=168 65.0 67.0 (2,1830)
ID=175 67.0 68.0 (2,2040)
ID=162 65.0 64.0 (2,1650)
ID=161 65.0 64.0 (2,1620)
ID=160 65.0 66.0 (2,1590)
ID=167 65.0 67.0 (2,1800)
ID=166 65.0 68.0 (2,1770)
ID=165 65.0 67.0 (2,1740)
ID=184 67.0 69.0 (2,2310)
ID=185 67.0 68.0 (2,2340)
ID=178 68.0 72.0 (2,2130)
ID=179 68.0 69.0 (2,2160)
ID=176 67.0 69.0 (2,2070)
ID=177 67.0 70.0 (2,2100)
ID=180 68.0 71.0 (2,2190)
ID=181 68.0 71.0 (2,2220)
ID=207 67.0 64.0 (2,3000)
ID=206 67.0 64.0 (2,2970)
ID=200 65.0 71.0 (2,2790)
ID=197 65.0 66.0 (2,2700)
ID=196 65.0 66.0 (2,2670)
ID=199 65.0 71.0 (2,2760)
ID=198 65.0 68.0 (2,2730)
ID=193 65.0 66.0 (2,2580)
ID=195 65.0 66.0 (2,2640)
ID=194 65.0 64.0 (2,2610)
ID=223 65.0 67.0 (3,300)
ID=216 65.0 67.0 (3,90)
ID=217 65.0 66.0 (3,120)
ID=218 65.0 66.0 (3,150)
ID=219 65.0 67.0 (3,180)
ID=213 65.0 65.0 (3,0)
ID=214 65.0 65.0 (3,30)
ID=215 65.0 65.0 (3,60)
ID=208 67.0 66.0 (2,3030)
ID=209 68.0 69.0 (2,3060)
ID=210 68.0 69.0 (2,3090)
ID=239 64.0 64.0 (3,780)
ID=238 65.0 63.0 (3,750)
ID=237 65.0 63.0 (3,720)
ID=228 65.0 67.0 (3,450)
ID=227 65.0 67.0 (3,420)
ID=226 65.0 67.0 (3,390)
ID=225 65.0 68.0 (3,360)
ID=224 65.0 68.0 (3,330)
ID=254 64.0 65.0 (3,1230)
ID=255 64.0 64.0 (3,1260)
ID=252 63.0 66.0 (3,1170)
ID=253 63.0 64.0 (3,1200)
ID=250 63.0 64.0 (3,1110)
ID=251 63.0 64.0 (3,1140)
ID=248 63.0 65.0 (3,1050)
ID=249 63.0 65.0 (3,1080)
ID=246 64.0 68.0 (3,990)
ID=247 64.0 66.0 (3,1020)
ID=244 64.0 64.0 (3,930)
ID=245 64.0 67.0 (3,960)
ID=242 63.0 64.0 (3,870)
ID=243 63.0 64.0 (3,900)
ID=240 64.0 65.0 (3,810)
ID=241 64.0 64.0 (3,840)
ID=275 64.0 67.0 (3,1860)
ID=274 64.0 68.0 (3,1830)
ID=273 64.0 69.0 (3,1800)
ID=272 64.0 68.0 (3,1770)
ID=279 64.0 66.0 (3,1980)
ID=278 64.0 66.0 (3,1950)
ID=277 64.0 67.0 (3,1920)
ID=276 64.0 67.0 (3,1890)
ID=283 64.0 62.0 (3,2100)
ID=282 64.0 64.0 (3,2070)
ID=281 64.0 64.0 (3,2040)
ID=280 64.0 64.0 (3,2010)
ID=287 63.0 64.0 (3,2220)
ID=286 63.0 64.0 (3,2190)
ID=285 64.0 64.0 (3,2160)
ID=284 64.0 64.0 (3,2130)
ID=258 64.0 66.0 (3,1350)
ID=259 65.0 64.0 (3,1380)
ID=256 64.0 67.0 (3,1290)
ID=257 64.0 66.0 (3,1320)
ID=262 64.0 67.0 (3,1470)
ID=263 64.0 66.0 (3,1500)
ID=260 65.0 67.0 (3,1410)
ID=261 64.0 67.0 (3,1440)
ID=266 64.0 65.0 (3,1590)
ID=267 64.0 66.0 (3,1620)
ID=264 64.0 67.0 (3,1530)
ID=265 64.0 67.0 (3,1560)
ID=270 64.0 69.0 (3,1710)
ID=271 65.0 69.0 (3,1740)
ID=268 64.0 65.0 (3,1650)
ID=269 64.0 66.0 (3,1680)
ID=305 62.0 62.0 (3,2760)
ID=304 63.0 63.0 (3,2730)
ID=307 63.0 67.0 (3,2820)
ID=306 63.0 64.0 (3,2790)
ID=309 63.0 65.0 (3,2880)
ID=308 63.0 67.0 (3,2850)
ID=311 63.0 66.0 (3,2940)
ID=310 63.0 65.0 (3,2910)
ID=313 64.0 66.0 (3,3000)
ID=312 64.0 66.0 (3,2970)
ID=315 63.0 64.0 (3,3060)
ID=314 63.0 64.0 (3,3030)
ID=317 63.0 62.0 (3,3120)
ID=316 63.0 62.0 (3,3090)
ID=318 63.0 61.0 (3,3150)
ID=288 63.0 64.0 (3,2250)
ID=289 62.0 64.0 (3,2280)
ID=290 62.0 64.0 (3,2310)
ID=291 61.0 64.0 (3,2340)
ID=292 61.0 64.0 (3,2370)
ID=293 62.0 61.0 (3,2400)
ID=294 62.0 62.0 (3,2430)
ID=295 62.0 64.0 (3,2460)
ID=296 62.0 64.0 (3,2490)
ID=297 62.0 65.0 (3,2520)
ID=298 62.0 65.0 (3,2550)
ID=299 63.0 65.0 (3,2580)
ID=300 63.0 65.0 (3,2610)
ID=301 63.0 66.0 (3,2640)
ID=302 63.0 65.0 (3,2670)
ID=303 63.0 62.0 (3,2700)
###############################################################
