###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/WORK/src/cluster/hd/CH_WTD.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 4
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 2
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 7.387311278350685 7.028327049332192
# Mean: 7.387311278350685 7.028327049332192
# Covariance Matrix: [
#  [ 0.16341306, 0.03665043 ]
#  [ 0.03665043, 0.01112449 ]
# ]
ID=137 8.199999999999996 7.200000000000003 t02_SEC_900
ID=65 7.200000000000003 7.0 t01_SEC_1920
ID=281 7.200000000000003 7.0 t03_SEC_2040
ID=280 7.200000000000003 7.0 t03_SEC_2010
ID=259 7.0 7.0 t03_SEC_1380
ID=216 8.199999999999996 7.199999999999996 t03_SEC_90
ID=217 8.199999999999996 7.199999999999996 t03_SEC_120
ID=260 7.0 6.899999999999999 t03_SEC_1410
ID=261 7.0 6.899999999999999 t03_SEC_1440
ID=266 7.200000000000003 7.0 t03_SEC_1590
ID=309 7.0 7.0 t03_SEC_2880
ID=308 7.0 7.0 t03_SEC_2850
ID=311 7.0 7.0 t03_SEC_2940
ID=310 7.0 7.0 t03_SEC_2910
ID=313 7.100000000000001 6.899999999999999 t03_SEC_3000
ID=312 7.100000000000001 6.899999999999999 t03_SEC_2970
ID=255 7.100000000000001 7.0 t03_SEC_1260
ID=289 7.199999999999996 7.0 t03_SEC_2280
ID=291 6.899999999999999 6.899999999999999 t03_SEC_2340
ID=250 7.200000000000003 7.0 t03_SEC_1110
ID=292 6.899999999999999 6.899999999999999 t03_SEC_2370
ID=251 7.200000000000003 7.0 t03_SEC_1140
ID=297 6.700000000000003 6.899999999999999 t03_SEC_2520
ID=298 6.700000000000003 6.899999999999999 t03_SEC_2550
ID=299 6.700000000000003 6.899999999999999 t03_SEC_2580
ID=300 6.700000000000003 6.799999999999997 t03_SEC_2610
ID=301 7.100000000000001 6.899999999999999 t03_SEC_2640
ID=302 7.100000000000001 6.899999999999999 t03_SEC_2670
###############################################################
